"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","Probable Pitcher","Batting Order"
"47801-52879","P","Ryan","Ryan Dull","Dull","2.6363636363636362","11","5500","TOR@ATL","TOR","ATL","","","","","0"
"47801-119441","P","Alek","Alek Manoah","Manoah","0","0","5500","TOR@ATL","TOR","ATL","DTD","Undisclosed","","","0"
"47801-82579","P","Rogelio","Rogelio Armenteros","Armenteros","18","5","5500","HOU@ARI","HOU","ARI","IL","Elbow","","","0"
"47801-119443","P","Kendall","Kendall Williams","Williams","0","0","5500","TOR@ATL","TOR","ATL","","","","","0"
"47801-52887","P","Tyler","Tyler Matzek","Matzek","12.25","4","5500","TOR@ATL","ATL","TOR","","","","","0"
"47801-82587","P","Richard","Richard Lovelady","Lovelady","0","1","5500","CHC@KAN","KAN","CHC","","","","","0"
"47801-38563","P","Yimi","Yimi Garcia","Garcia","7","2","5500","BAL@MIA","MIA","BAL","IL","Undisclosed","","","0"
"47801-114356","P","Kevin","Kevin Ginkel","Ginkel","3.4","5","5500","HOU@ARI","ARI","HOU","","","","","0"
"47801-14006","P","Brian","Brian Moran","Moran","8","3","5500","BAL@MIA","MIA","BAL","","","","","0"
"47801-72377","P","James","James Hoyt","Hoyt","9","1","5500","BAL@MIA","MIA","BAL","","","","","0"
"47801-114360","P","Devin","Devin Williams","Williams","8.5","4","5500","MIL@CWS","MIL","CWS","","","","","0"
"47801-38596","P","Chris","Chris Martin","Martin","4.5","4","5500","TOR@ATL","ATL","TOR","","","","","0"
"47801-14023","P","Pat","Pat Venditte","Venditte","-1","2","5500","BAL@MIA","MIA","BAL","","","","","0"
"47801-81615","P","Tim","Tim Mayza","Mayza","3.5441176470588234","68","5500","TOR@ATL","TOR","ATL","DTD","Elbow","","","0"
"47801-13010","P","David","David Phelps","Phelps","8.2","5","5500","MIL@CWS","MIL","CWS","","","","","0"
"47801-21210","P","Mychal","Mychal Givens","Givens","8","3","5500","BAL@MIA","BAL","MIA","","","","","0"
"47801-14047","P","Brad","Brad Boxberger","Boxberger","4.333333333333333","3","5500","BAL@MIA","MIA","BAL","","","","","0"
"47801-17123","P","Chris","Chris Rusin","Rusin","10","1","5500","TOR@ATL","ATL","TOR","","","","","0"
"47801-53990","P","Shawn","Shawn Armstrong","Armstrong","7","3","5500","BAL@MIA","BAL","MIA","","","","","0"
"47801-81642","P","A.J.","A.J. Minter","Minter","5.833333333333333","6","5500","TOR@ATL","ATL","TOR","","","","","0"
